Time Stamps (s),Values,Labels,punc,dvop_next,dvop_prev,dx_next,dx_prev,dy_next,dy_prev,delta_next,delta_prev
24.97,0.0,M, ,0.09800000000000253,0.06199999999999761,0.08999999999999986,0.134999999999998,1.0,1.0,11.111111111111128,7.407407407407517
25.06,1.0,H, ,0.008000000000002672,0.15199999999999747,0.10000000000000142,0.08999999999999986,0.0,1.0,0.0,11.111111111111128
25.16,1.0,H, ,0.08099999999999952,0.004000000000001336,0.0799999999999983,0.10000000000000142,-1.0,0.0,-12.500000000000266,0.0
25.24,0.0,M, ,0.0010000000000012221,0.08399999999999963,0.1750000000000007,0.0799999999999983,-0.5,-1.0,-2.8571428571428457,-12.500000000000266
25.415,-0.5,M-L, ,0.5210000000000008,0.0019999999999988916,0.5300000000000011,0.1750000000000007,0.5,-0.5,0.9433962264150924,-2.8571428571428457
25.945,0.0,M, ,0.08099999999999952,0.009000000000000341,0.08500000000000085,0.5300000000000011,-0.5,0.5,-5.8823529411764115,0.9433962264150924
26.03,-0.5,M-L, ,0.125,0.004000000000001336,0.21499999999999986,0.08500000000000085,0.5,-0.5,2.3255813953488387,-5.8823529411764115
26.245,0.0,M, ,0.11100000000000065,0.022000000000002018,0.14999999999999858,0.21499999999999986,0.0,0.5,0.0,2.3255813953488387
26.395,0.0,M, ,0.16600000000000037,0.006000000000000227,0.1700000000000017,0.14999999999999858,0.0,0.0,0.0,0.0
26.565,0.0,M, ,0.12099999999999866,0.004000000000001336,0.11999999999999744,0.1700000000000017,-1.0,0.0,-8.333333333333512,0.0
26.685,-1.0,L, ,0.0010000000000012221,0.12399999999999878,0.13500000000000156,0.11999999999999744,0.0,-1.0,0.0,-8.333333333333512
26.82,-1.0,L, ,0.26099999999999923,0.13400000000000034,0.11499999999999844,0.13500000000000156,1.0,0.0,8.695652173913162,0.0
26.935,0.0,M, ,0.1460000000000008,0.24899999999999878,0.15000000000000213,0.11499999999999844,-1.0,1.0,-6.666666666666572,8.695652173913162
27.085,-1.0,L, ,0.0990000000000002,0.004000000000001336,0.25,0.15000000000000213,0.0,-1.0,0.0,-6.666666666666572
27.335,-1.0,L, ,1.2100000000000009,0.1509999999999998,1.0649999999999977,0.25,0.0,0.0,0.0,0.0
28.4,-1.0,L,.,0.14500000000000313,1.2159999999999975,0.15500000000000114,1.0649999999999977,1.0,0.0,6.451612903225759,0.0
28.555,0.0,M, ,0.09700000000000131,0.00999999999999801,0.09499999999999886,0.15500000000000114,0.0,1.0,0.0,6.451612903225759
28.65,0.0,M, ,0.0020000000000024443,0.10499999999999687,0.10500000000000043,0.09499999999999886,0.0,0.0,0.0,0.0
